"ISO Country Code", "Region Name", "ISO_3166-2 Region Code", "Bytes3 Result"
BF,Sanmatenga,BF-SMT,534d54
BF,Seno,BF-SEN,53454e
BF,Sissili,BF-SIS,534953
BF,Soum,BF-SOM,534f4d
BF,Sourou,BF-SOR,534f52
BF,Tapoa,BF-TAP,544150
BF,Tuy,BF-TUI,545549
BF,Yagha,BF-YAG,594147
BF,Yatenga,BF-YAT,594154
BF,Ziro,BF-ZIR,5a4952
BF,Zondoma,BF-ZON,5a4f4e
BF,Zoundweogo,BF-ZOU,5a4f55
BG,Blagoevgrad,BG-01,303100
BG,Burgas,BG-02,303200
BG,Dobrich,BG-08,303800
BG,Gabrovo,BG-07,303700
BG,Haskovo,BG-26,323600
BG,Kardzhali,BG-09,303900
BG,Kyustendil,BG-10,313000
BG,Lovech,BG-11,313100
BG,Montana,BG-12,313200
BG,Pazardzhik,BG-13,313300
BG,Pernik,BG-14,313400
BG,Pleven,BG-15,313500
BG,Plovdiv,BG-16,313600
BG,Razgrad,BG-17,313700
BG,Ruse,BG-18,313800
BG,Shumen,BG-27,323700
BG,Silistra,BG-19,313900
BG,Sliven,BG-20,323000
BG,Smolyan,BG-21,323100
BG,Sofia,BG-23,323300
BG,Sofia (stolitsa),BG-22,323200
BG,Stara Zagora,BG-24,323400
BG,Targovishte,BG-25,323500
BG,Varna,BG-03,303300
BG,Veliko Tarnovo,BG-04,303400
BG,Vidin,BG-05,303500
BG,Vratsa,BG-06,303600
BG,Yambol,BG-28,323800
BH,Al 'Asimah,BH-13,313300
BH,Al Muharraq,BH-15,313500
BH,Ash Shamaliyah,BH-17,313700
BI,Bubanza,BI-BB,424200
BI,Bujumbura Mairie,BI-BM,424d00
BI,Bururi,BI-BR,425200
BI,Cankuzo,BI-CA,434100
BI,Cibitoke,BI-CI,434900
BI,Gitega,BI-GI,474900
BI,Karuzi,BI-KR,4b5200
BI,Kayanza,BI-KY,4b5900
BI,Kirundo,BI-KI,4b4900
BI,Makamba,BI-MA,4d4100
BI,Muramvya,BI-MU,4d5500
BI,Muyinga,BI-MY,4d5900
BI,Mwaro,BI-MW,4d5700
BI,Ngozi,BI-NG,4e4700
BI,Rutana,BI-RT,525400
BI,Ruyigi,BI-RY,525900
BJ,Alibori,BJ-AL,414c00
BJ,Atacora,BJ-AK,414b00
BJ,Atlantique,BJ-AQ,415100
BJ,Borgou,BJ-BO,424f00
